Price,House Type,Area in sq ft,No. of Bedrooms,Location,Post Code Category
1495000,House,1889,4,Chiswick,WEST LONDON
1950000,House,2150,4,Barnes,CENTRAL LONDON
785000,New development,590,1,101 Wood Lane,CENTRAL LONDON
2250000,Flat / Apartment,1641,3, Battersea,CENTRAL LONDON
6450000,Flat / Apartment,3578,2, Westminster,CENTRAL LONDON
749950,Flat / Apartment,1059,2, Wimbledon,CENTRAL LONDON
1975000,Penthouse,2458,2,226 Arlington Road,NORTH WEST LONDON
3550000,House,1986,5,Chelsea,CENTRAL LONDON
350000,Flat / Apartment,539,1,Balham High Road,CENTRAL LONDON
4600000,New development,1961,3,Fitzrovia,CENTRAL LONDON
1325000,New development,824,2,9 Gatliff Road,CENTRAL LONDON
5250000,House,3782,8,Belsize Park,NORTH WEST LONDON
1000000,House,1549,4,Ealing,WEST LONDON
1200000,House,1760,4,East Sheen,CENTRAL LONDON
1200000,House,1615,4,Chiswick,WEST LONDON
3295000,House,3230,5, Chiswick,WEST LONDON
1215000,New development,1091,3, Putney,CENTRAL LONDON
2275000,House,2652,5,Barnes,CENTRAL LONDON
400000,Flat / Apartment,601,2, Barnes,CENTRAL LONDON
800000,Flat / Apartment,1143,3, Battersea,CENTRAL LONDON
700000,Flat / Apartment,940,2,Battersea,SOUTH WEST LONDON
500000,Flat / Apartment,561,1,Clerkenwell,CITY OF LONDON
3975000,House,1726,3,Knightsbridge,CENTRAL LONDON
1099000,House,1554,4, Putney,CENTRAL LONDON
539950,Flat / Apartment,627,2,Weimar Street,CENTRAL LONDON
950000,Flat / Apartment,922,3, Maida Vale,CENTRAL LONDON
1200000,Flat / Apartment,1218,3,Hampstead,NORTH WEST LONDON
380000,Flat / Apartment,550,1,42 White Horse Lane,EAST LONDON
490000,Flat / Apartment,771,2, Canary Wharf,EAST LONDON
2750000,House,2612,6,Barnes,CENTRAL LONDON
450000,Flat / Apartment,460,1, St John's Wood,NORTH WEST LONDON
825000,House,1224,3,Putney,CENTRAL LONDON
1695000,House,2205,4,Putney,CENTRAL LONDON
425000,Flat / Apartment,548,1,Putney,CENTRAL LONDON
1250000,Flat / Apartment,896,2,Primrose Hill,NORTH WEST LONDON
785000,New development,1263,2, Mill Hill,NORTH WEST LONDON
465000,Flat / Apartment,518,1,Hackney,EAST LONDON
1350000,Flat / Apartment,1023,2,Belsize Park,NORTH WEST LONDON
2500000,House,2458,5,Fulham,CENTRAL LONDON
945000,House,1112,3,East Sheen,CENTRAL LONDON
725000,Flat / Apartment,861,2, Limehouse,EAST LONDON
325000,Flat / Apartment,469,1, Canary Wharf,EAST LONDON
800000,Flat / Apartment,742,2,Finsbury,CITY OF LONDON
595000,New development,476,1,Farringdon,CITY OF LONDON
425000,Flat / Apartment,740,2,Grove Park,WEST LONDON
1250000,House,1380,3,Barnes,CENTRAL LONDON
2100000,House,1959,5,Barnes,CENTRAL LONDON
875000,House,869,2,Battersea,CENTRAL LONDON
1095000,House,1238,3,Battersea,CENTRAL LONDON
1495000,Penthouse,1680,4,Battersea,CENTRAL LONDON
895000,Flat / Apartment,1221,3, Wimbledon,CENTRAL LONDON
3500000,Flat / Apartment,1548,3,Belgravia,CENTRAL LONDON
4750000,Flat / Apartment,1559,2, Knightsbridge,CENTRAL LONDON
550000,Flat / Apartment,690,2,Macaulay Road,SOUTH WEST LONDON
4035000,New development,2174,4, Chelsea,CENTRAL LONDON
1150000,Flat / Apartment,933,2,50 Kensington Place,CENTRAL LONDON
1300000,House,1457,4,Battersea,CENTRAL LONDON
2950000,House,2349,5,Westminster,CENTRAL LONDON
995000,House,1184,3,Wimbledon,CENTRAL LONDON
700000,Flat / Apartment,814,2, Battersea,CENTRAL LONDON
1675000,House,1749,4,South Hackney,EAST LONDON
635000,Flat / Apartment,774,2,Putney,CENTRAL LONDON
1995000,House,3256,5,Putney,CENTRAL LONDON
1895000,House,1868,3,Islington,NORTH LONDON
825000,Flat / Apartment,1026,3, Canary Wharf,EAST LONDON
875000,Flat / Apartment,767,2,Clerkenwell,CITY OF LONDON
2175000,House,2108,5,Barnes,CENTRAL LONDON
2250000,House,2332,5,Barnes,CENTRAL LONDON
975000,Flat / Apartment,1100,2,Battersea,CENTRAL LONDON
1735000,House,2144,4,Battersea,CENTRAL LONDON
1375000,House,1335,3, Wimbledon,CENTRAL LONDON
875000,Flat / Apartment,693,2,Grove End Road,NORTH WEST LONDON
1950000,House,1873,5, South Hampstead,NORTH WEST LONDON
2150000,Flat / Apartment,1672,3, Marylebone,CENTRAL LONDON
800000,Flat / Apartment,548,2, Marylebone,CENTRAL LONDON
1750000,Flat / Apartment,883,2, Fitzrovia,CENTRAL LONDON
1178000,New development,847,2, Battersea,CENTRAL LONDON
1895000,House,2132,5,Highbury,NORTH LONDON
1200000,Flat / Apartment,1355,2,29 Laycock Street,NORTH LONDON
725000,House,804,1,Hackney,EAST LONDON
1100000,House,1069,2,Hampstead,NORTH WEST LONDON
600000,New development,870,1, Ealing,WEST LONDON
1295000,House,1674,4,Balham,CENTRAL LONDON
600000,House,570,2,Wimbledon,CENTRAL LONDON
895000,House,900,3,Wimbledon,CENTRAL LONDON
1160000,Penthouse,1112,2,Wimbledon,CENTRAL LONDON
450000,Flat / Apartment,377,1,Abbey Road,NORTH WEST LONDON
3450000,Penthouse,1575,2,Notting Hill,CENTRAL LONDON
2500000,House,1266,3,Marylebone,CENTRAL LONDON
2150000,Flat / Apartment,1064,2,Sloane Square,CENTRAL LONDON
1995000,Flat / Apartment,1053,2,Knightsbridge,CENTRAL LONDON
2600000,Flat / Apartment,1722,3,Thurloe Place,CENTRAL LONDON
795000,Flat / Apartment,691,1,20 Gatliff Road,CENTRAL LONDON
1850000,Flat / Apartment,1480,3,4-10 Lexham Gardens,CENTRAL LONDON
3500000,Flat / Apartment,1804,4,Duchess Of Bedford's Walk,CENTRAL LONDON
450000,Studio,410,0,Vicarage Gate,CENTRAL LONDON
2895000,Flat / Apartment,1850,3,33 Kensington Court,CENTRAL LONDON
1250000,Flat / Apartment,1317,3,29 Sheffield Terrace,CENTRAL LONDON
4250000,Flat / Apartment,2713,6,Kensington High Street,CENTRAL LONDON
1175000,Flat / Apartment,793,2,Thackeray Street,CENTRAL LONDON
1550000,Flat / Apartment,923,2,Vicarage Gate,CENTRAL LONDON
1450000,House,1899,4,East Sheen,CENTRAL LONDON
4750000,House,3104,6,Chelsea,CENTRAL LONDON
799950,Flat / Apartment,890,2,721 Fulham Road,CENTRAL LONDON
850000,House,1167,3,Battersea,CENTRAL LONDON
560000,Flat / Apartment,779,1, Battersea,CENTRAL LONDON
910000,House,960,3,Battersea,CENTRAL LONDON
399950,Flat / Apartment,621,1, Wimbledon,CENTRAL LONDON
465000,Flat / Apartment,592,1,Wimbledon,CENTRAL LONDON
1295000,Flat / Apartment,1702,4, Putney,CENTRAL LONDON
825000,Flat / Apartment,947,2,Putney,CENTRAL LONDON
1195000,Flat / Apartment,879,2,Primrose Hill,NORTH WEST LONDON
1250000,Flat / Apartment,1061,2,Regent's Park,NORTH WEST LONDON
985000,Flat / Apartment,677,2, Bloomsbury,CENTRAL LONDON
530000,Flat / Apartment,482,1,Highbury,NORTH LONDON
4200000,House,2968,3,Islington,NORTH LONDON
1375000,House,1340,3,Islington,NORTH LONDON
575000,Flat / Apartment,707,2,Hackney,EAST LONDON
2950000,House,2740,4,Highgate,NORTH LONDON
3250000,House,3156,5,Fulham,CENTRAL LONDON
300000,Flat / Apartment,517,1,Newham,EAST LONDON
510000,New development,577,1, Battersea,CENTRAL LONDON
350000,Flat / Apartment,302,1,Fulham,CENTRAL LONDON
875000,Flat / Apartment,981,2,Brook Green,CENTRAL LONDON
1095000,House,2642,3,Kingston,CENTRAL LONDON
3350000,House,3256,5,Wimbledon,CENTRAL LONDON
3950000,House,2530,6,Chelsea,CENTRAL LONDON
475000,Flat / Apartment,650,2,1 Tiltman Place,NORTH LONDON
599950,New development,930,3,Homerton,EAST LONDON
585000,Flat / Apartment,881,2,Hackney,EAST LONDON
1750000,House,2223,4,Childs Hill,NORTH WEST LONDON
950000,House,1258,4,Acton,WEST LONDON
910000,Flat / Apartment,683,1, South Bank,SOUTH EAST LONDON
1849950,House,2372,5,Streatham,SOUTH WEST LONDON
700000,Flat / Apartment,758,2,New Kings Road,CENTRAL LONDON
425000,Flat / Apartment,549,1,Wimbledon,CENTRAL LONDON
3000000,House,2432,4,St John's Wood,NORTH WEST LONDON
775000,Flat / Apartment,990,2,Putney,CENTRAL LONDON
4950000,House,4482,7,Clapham,SOUTH WEST LONDON
649000,New development,560,1,82-88 Fulham High Street,CENTRAL LONDON
499950,Flat / Apartment,386,1,Islington,NORTH LONDON
399950,Flat / Apartment,806,3, Finsbury Park,NORTH LONDON
1085000,House,1705,3,Hackney,EAST LONDON
1595000,House,1679,4,Fulham,CENTRAL LONDON
1799995,New development,1236,2,Water Lane,CITY OF LONDON
2700000,House,2685,5,Stamford Brook,CENTRAL LONDON
1150000,House,1301,4,Chiswick,WEST LONDON
2475000,House,2406,5,Barnes,CENTRAL LONDON
799950,House,766,2,Battersea,CENTRAL LONDON
2950000,Flat / Apartment,1181,2,Belgravia,CENTRAL LONDON
625000,Flat / Apartment,693,2, Maida Vale,CENTRAL LONDON
1650000,House,2048,4,Hackney,EAST LONDON
525000,New development,666,1,Ealing,CENTRAL LONDON
1500000,Flat / Apartment,1438,3, Juniper Drive,CENTRAL LONDON
3750000,Flat / Apartment,1550,2,Belgravia,CENTRAL LONDON
895000,Flat / Apartment,1039,2, Putney,CENTRAL LONDON
650000,Duplex,890,2, Battersea,CENTRAL LONDON
550000,New development,547,1, 35 Salusbury Road,NORTH WEST LONDON
1550000,House,1378,3,De Beauvoir,NORTH LONDON
4950000,New development,3330,3,55 Primrose Hill Road,NORTH WEST LONDON
2850000,Flat / Apartment,1752,2,55 Primrose Hill Road,NORTH WEST LONDON
2250000,Flat / Apartment,2557,3, Fulham,CENTRAL LONDON
595000,New development,807,2,North Ealing,WEST LONDON
1350000,Flat / Apartment,2264,2, Canary Wharf,EAST LONDON
545000,New development,773,2,Bow,EAST LONDON
1195000,House,1668,4,Acton,WEST LONDON
822500,New development,869,2, Putney,CENTRAL LONDON
1345000,Flat / Apartment,1030,3,1 Albert Embankment,SOUTH EAST LONDON
1400000,Flat / Apartment,1145,2, Vauxhall,SOUTH WEST LONDON
1750000,Flat / Apartment,1232,2,93 Albert Embankment,SOUTH EAST LONDON
2350000,House,1844,4,Regent's Park,NORTH WEST LONDON
1075000,Flat / Apartment,1142,3,Elm Tree Road,NORTH WEST LONDON
2250000,Flat / Apartment,1348,2,Mayfair,CENTRAL LONDON
699950,Flat / Apartment,787,2,Highbury Stadium Square,NORTH LONDON
1425000,House,1761,3,Highbury,NORTH LONDON
435000,Flat / Apartment,527,1,Islington,NORTH LONDON
645000,New development,904,2, Ealing,WEST LONDON
1750000,House,1891,5,Barnes,CENTRAL LONDON
725000,Flat / Apartment,924,3,Fulham,CENTRAL LONDON
850000,House,780,2,Battersea,CENTRAL LONDON
2249000,House,2600,5,Wimbledon,CENTRAL LONDON
525000,New development,558,1,3 Ryeland Boulevard,CENTRAL LONDON
370000,Flat / Apartment,400,1,South Hackney,EAST LONDON
2500000,Flat / Apartment,2132,2,Spitalfields,EAST LONDON
715000,Flat / Apartment,764,2, Maida Vale,CENTRAL LONDON
985000,Flat / Apartment,978,2, Maida Vale,CENTRAL LONDON
4850000,Penthouse,1518,3,Fitzrovia,CENTRAL LONDON
699950,House,1255,1,Islington,NORTH LONDON
350000,Flat / Apartment,420,1, Acton,WEST LONDON
3250000,House,3467,6,East Sheen,CENTRAL LONDON
2166000,New development,1236,2,Water Lane,CITY OF LONDON
480000,New development,577,1, Battersea,CENTRAL LONDON
825000,Flat / Apartment,869,2,Brook Green,CENTRAL LONDON
2950000,New development,2768,4,Battersea,CENTRAL LONDON
585000,Flat / Apartment,784,2,Wimbledon,CENTRAL LONDON
2975000,House,2041,3,Chelsea,CENTRAL LONDON
899000,New development,982,2,Clapham Common North Side,SOUTH WEST LONDON
550000,Flat / Apartment,736,2,Hackney,EAST LONDON
1150000,Flat / Apartment,1302,2, Limehouse,EAST LONDON
550000,New development,1023,2,Royal Albert Wharf,EAST LONDON
690000,Flat / Apartment,753,2, Clerkenwell,CITY OF LONDON
1175000,Flat / Apartment,949,2,Clerkenwell,CITY OF LONDON
2000000,House,2222,5,Chiswick,WEST LONDON
699950,Flat / Apartment,848,2, Battersea,CENTRAL LONDON
900000,House,1223,3,Battersea,CENTRAL LONDON
875000,House,1061,3,Battersea,CENTRAL LONDON
1695000,House,1938,4,South Hackney,EAST LONDON
845000,Flat / Apartment,960,2, St. John's Wood,NORTH WEST LONDON
850000,House,1213,4, Hackney,EAST LONDON
3250000,Flat / Apartment,1509,1,Belgravia,CENTRAL LONDON
1750000,Flat / Apartment,1239,3,Primrose Hill,NORTH WEST LONDON
550000,New development,562,1, Queens Park,NORTH WEST LONDON
1050000,Flat / Apartment,1309,3,Marylebone,CENTRAL LONDON
1095000,Flat / Apartment,945,1, Marylebone,CENTRAL LONDON
1100000,Flat / Apartment,985,3,Hampstead,NORTH WEST LONDON
3000000,Flat / Apartment,2427,4,Hampstead,NORTH WEST LONDON
2150000,House,2416,5,Fulham,CENTRAL LONDON
1800000,House,2129,5,East Sheen,CENTRAL LONDON
2750000,House,3251,7,Ravenscourt Park,WEST LONDON
2520000,House,2638,5,Brook Green,CENTRAL LONDON
700000,Flat / Apartment,875,2,Battersea,CENTRAL LONDON
1350000,House,1295,3,Battersea,CENTRAL LONDON
3450000,Flat / Apartment,1215,2, Westminster,CENTRAL LONDON
725000,Penthouse,1200,3,Hackney,EAST LONDON
700000,Flat / Apartment,606,2,Clerkenwell,CITY OF LONDON
695000,Flat / Apartment,796,2,Clerkenwell,CITY OF LONDON
1299000,Flat / Apartment,827,2,City Of London,CITY OF LONDON
5950000,Flat / Apartment,2817,3,Knightsbridge,CENTRAL LONDON
1475000,House,1894,4,Putney,CENTRAL LONDON
2950000,House,3336,7,Putney,CENTRAL LONDON
2250000,Flat / Apartment,1297,2,St James's,CENTRAL LONDON
599950,Flat / Apartment,734,1, Islington,NORTH LONDON
850000,House,900,2,Fulham,CENTRAL LONDON
825000,Flat / Apartment,1027,3,Fulham,CENTRAL LONDON
1850000,House,1678,5,Fulham,CENTRAL LONDON
1750000,Flat / Apartment,1390,3,11 Park Street,CENTRAL LONDON
3150000,House,3100,5,Fulham,CENTRAL LONDON
599950,Flat / Apartment,1128,3,Acton,WEST LONDON
950000,Flat / Apartment,973,2,94 Wapping High Street,EAST LONDON
1050000,New development,817,2,82-88 Fulham High Street,CENTRAL LONDON
3895000,New development,4453,6,35A Arterberry Road,SOUTH WEST LONDON
425000,Flat / Apartment,502,1, St. John's Wood,NORTH WEST LONDON
439000,Flat / Apartment,670,2,Putney,CENTRAL LONDON
4500000,House,2742,6,Notting Hill,CENTRAL LONDON
1500000,House,1327,4,Highbury,NORTH LONDON
625000,Flat / Apartment,513,1,Islington,NORTH LONDON
499999,Flat / Apartment,700,1,De Beauvoir,NORTH LONDON
2250000,House,2389,5,Chiswick,WEST LONDON
3250000,House,3098,5,Barnes,CENTRAL LONDON
1395000,Flat / Apartment,981,2,101 Wood Lane,CENTRAL LONDON
475000,Flat / Apartment,705,2,Wandsworth Common West Side,CENTRAL LONDON
1250000,House,1810,3,Putney,CENTRAL LONDON
1150000,House,1468,3,Putney,CENTRAL LONDON
1399000,House,1456,3,Battersea,CENTRAL LONDON
4750000,Penthouse,1774,3,Fitzrovia,CENTRAL LONDON
2275000,House,1969,4,Islington,NORTH LONDON
599950,Flat / Apartment,657,2,Islington,NORTH LONDON
1995000,House,2707,5,East Sheen,CENTRAL LONDON
850000,Flat / Apartment,655,1,Star Place,EAST LONDON
3750000,House,3391,5,Ravenscourt Park,WEST LONDON
995000,House,1423,5,Chiswick,WEST LONDON
850000,House,1163,3,Chiswick,WEST LONDON
2400000,Flat / Apartment,1898,4,Drayton Gardens,CENTRAL LONDON
599950,Flat / Apartment,830,3,Battersea,CENTRAL LONDON
675000,Flat / Apartment,602,2, St. Johns Wood,NORTH WEST LONDON
735000,Flat / Apartment,953,2,Camden,NORTH WEST LONDON
1300000,House,2547,5,Brondesbury,NORTH WEST LONDON
7450000,House,3997,6,South Kensington,CENTRAL LONDON
8250000,House,3188,5,Belgravia,CENTRAL LONDON
2395000,House,2212,4,Islington,NORTH LONDON
500000,Flat / Apartment,675,1,Islington,NORTH LONDON
2550000,House,2241,5,Canonbury,NORTH LONDON
600000,New development,721,2, Clapton,EAST LONDON
590000,Flat / Apartment,702,2,Lee Street,EAST LONDON
550000,House,674,2,Tottenham Road,NORTH LONDON
1650000,House,1716,5, Fulham,CENTRAL LONDON
1250000,House,1700,4,Ealing,CENTRAL LONDON
599000,Flat / Apartment,830,2,Ensign Street,EAST LONDON
1350000,Flat / Apartment,1862,3,Wimbledon,SOUTH WEST LONDON
1225000,House,1681,4,Wimbledon,CENTRAL LONDON
650000,Flat / Apartment,779,2,Wimbledon,CENTRAL LONDON
6950000,House,3911,6,St. John's Wood,NORTH WEST LONDON
4495000,House,2607,4,St. John's Wood,NORTH WEST LONDON
599950,Flat / Apartment,969,3, Putney,CENTRAL LONDON
465000,Flat / Apartment,461,1, Putney,CENTRAL LONDON
1800000,Flat / Apartment,1405,3, Hampstead,NORTH WEST LONDON
2050000,New development,2875,4,Chiswick,WEST LONDON
775000,Flat / Apartment,936,2,Barnes,CENTRAL LONDON
2400000,House,2803,6,Battersea,CENTRAL LONDON
825000,House,1388,3,Wimbledon,CENTRAL LONDON
1000000,House,1306,4,Wandsworth,CENTRAL LONDON
350000,Flat / Apartment,670,2, Lisson Grove,NORTH WEST LONDON
3600000,House,1831,5,Notting Hill,CENTRAL LONDON
765000,Duplex,992,2,St John's Hill,CENTRAL LONDON
1675000,Flat / Apartment,1101,2,Little Venice,CENTRAL LONDON
1375000,Flat / Apartment,1002,2,Marylebone,CENTRAL LONDON
1350000,Mews,993,2,Marylebone,CENTRAL LONDON
2500000,House,2537,6,Islington,NORTH LONDON
4650000,House,4653,7,Highgate,NORTH LONDON
550000,New development,773,2,Bow,EAST LONDON
2700000,House,2953,7,Chiswick,WEST LONDON
399950,Flat / Apartment,580,2,Gunnersbury,WEST LONDON
595000,New development,545,1,Carlton Drive,CENTRAL LONDON
675000,Flat / Apartment,778,2, Elephant Park,SOUTH EAST LONDON
765000,New development,864,2,Wimbledon,CENTRAL LONDON
835000,Flat / Apartment,651,1,St. John's Wood,NORTH WEST LONDON
2395000,Flat / Apartment,1160,2, Fitzrovia,CENTRAL LONDON
3250000,House,1738,3,Marylebone,CENTRAL LONDON
2990000,New development,1451,3, Chelsea,CENTRAL LONDON
1800000,House,4225,5,Mortlake,CENTRAL LONDON
2300000,House,2800,6,East Sheen,CENTRAL LONDON
573000,New development,429,0,199 To 207 Marsh Wall,EAST LONDON
835000,Flat / Apartment,704,2,Clerkenwell,CITY OF LONDON
2200000,House,2354,5, Chiswick,WEST LONDON
2775000,Flat / Apartment,1711,3,St. James's,CENTRAL LONDON
750000,Flat / Apartment,1076,3,Wimbledon,CENTRAL LONDON
1425000,House,2173,5,Wandsworth,CENTRAL LONDON
380000,Flat / Apartment,420,1,South Hackney,EAST LONDON
2000000,House,2149,5,Putney,CENTRAL LONDON
1490000,House,1875,5,Bellevue Village,CENTRAL LONDON
710000,New development,818,2, Crouch End,NORTH LONDON
915000,New development,810,2,82-88 Fulham High Street,CENTRAL LONDON
2000000,House,2078,4,Barnsbury,NORTH LONDON
425000,Flat / Apartment,495,1,Canonbury,NORTH LONDON
499950,Flat / Apartment,656,2,Lower Holloway,NORTH LONDON
1050000,Flat / Apartment,1186,3,Keats Grove,NORTH WEST LONDON
1150000,House,1906,5, Fulham,CENTRAL LONDON
1499995,New development,1142,2,Water Lane,CITY OF LONDON
550000,Flat / Apartment,853,2,Chiswick,WEST LONDON
550000,Flat / Apartment,500,1,Park Walk,CENTRAL LONDON
1050000,House,1261,3,Barnes,CENTRAL LONDON
2750000,House,2637,4,Barnes,CENTRAL LONDON
1785000,House,2061,5,Battersea,CENTRAL LONDON
450000,Studio,332,0, Westminster,CENTRAL LONDON
375000,Flat / Apartment,515,1,Wimbledon,CENTRAL LONDON
5500000,Flat / Apartment,1973,3,Belgravia,CENTRAL LONDON
2000000,New development,1688,4,82-88 Fulham High Street,CENTRAL LONDON
1595000,House,1828,3,Barnsbury,NORTH LONDON
600000,Flat / Apartment,780,2,27-33 Fairfax Road,NORTH WEST LONDON
1050000,House,1355,4,Wendell Park,WEST LONDON
1385000,Flat / Apartment,990,3,Hortensia Road,CENTRAL LONDON
650000,Flat / Apartment,1106,2, Wimbledon,SOUTH WEST LONDON
10950000,Flat / Apartment,3111,3,Prince Consort Road,CENTRAL LONDON
375000,Flat / Apartment,525,1,Putney,CENTRAL LONDON
899000,House,1168,3,Putney,CENTRAL LONDON
995000,House,1055,3,Putney,CENTRAL LONDON
1695000,House,2368,5,Putney,CENTRAL LONDON
495000,Flat / Apartment,815,2, Putney,CENTRAL LONDON
775000,Flat / Apartment,665,2,Primrose Hill,NORTH WEST LONDON
1150000,Flat / Apartment,1582,3,Clapham Common North Side,SOUTH WEST LONDON
4400000,House,4102,5,Highgate,NORTH LONDON
2300000,House,2362,5,Kentish Town,NORTH WEST LONDON
625000,Flat / Apartment,676,1,42 Warwick Road,CENTRAL LONDON
525000,New development,581,1,Chiswick,WEST LONDON
635000,Flat / Apartment,936,2, Wimbledon,SOUTH WEST LONDON
1550000,House,1884,4,Wimbledon,CENTRAL LONDON
1000000,Penthouse,1190,3, Wandsworth,CENTRAL LONDON
5500000,Flat / Apartment,2497,3,Basil Street,CENTRAL LONDON
1325000,Flat / Apartment,779,2, Marylebone,CENTRAL LONDON
950000,Flat / Apartment,1023,2,Canonbury,NORTH LONDON
1150000,House,1580,4,Ealing,WEST LONDON
730000,Penthouse,1127,3,Royal Albert Wharf,EAST LONDON
860000,House,1010,2,Battersea,CENTRAL LONDON
1250000,Flat / Apartment,960,2, Westminster,CENTRAL LONDON
1295000,House,1940,5,Putney,CENTRAL LONDON
595000,Flat / Apartment,1452,3, Putney,CENTRAL LONDON
3995000,New development,2694,3, Fitzrovia,CENTRAL LONDON
3000000,House,2011,4,Belsize Park,NORTH WEST LONDON
2500000,House,2907,5,Fulham,CENTRAL LONDON
6350000,Penthouse,4689,4, Fulham,CENTRAL LONDON
1175000,House,1263,3,East Sheen,CENTRAL LONDON
2100000,House,2360,4,Battersea,CENTRAL LONDON
745000,Flat / Apartment,1181,3,162 Gideon Road,CENTRAL LONDON
560000,Flat / Apartment,468,1,Pimlico,CENTRAL LONDON
2450000,House,3831,5,Wimbledon,CENTRAL LONDON
2295000,House,4569,5,Wimbledon,SOUTH WEST LONDON
2395000,House,2443,5,Wimbledon,CENTRAL LONDON
1250000,Penthouse,1600,2, Spitalfields,EAST LONDON
850000,Flat / Apartment,1254,3, Dalston,EAST LONDON
795000,House,2472,5,Putney,CENTRAL LONDON
835000,House,1297,3,Putney,CENTRAL LONDON
3500000,House,3709,7,Wandsworth,CENTRAL LONDON
1200000,House,1298,4,Barnsbury,NORTH LONDON
1050000,House,1206,2,Islington,NORTH LONDON
500000,Flat / Apartment,794,2, Holloway,NORTH LONDON
575000,Flat / Apartment,1034,2,De Beauvoir,NORTH LONDON
575000,Flat / Apartment,741,2,Holloway,NORTH LONDON
449950,Flat / Apartment,759,3,Southgate Road,NORTH LONDON
2650000,House,2311,2,Islington,NORTH LONDON
500000,Flat / Apartment,492,1,52 Holloway Road,NORTH LONDON
1050000,House,1248,4,Aberdeen Park,NORTH LONDON
629000,Flat / Apartment,640,2,Islington,NORTH LONDON
499950,Flat / Apartment,690,2, Golders Green,NORTH WEST LONDON
1690000,House,2099,4,Fulham,CENTRAL LONDON
1450000,Flat / Apartment,963,2,South Kensington,CENTRAL LONDON
1750000,Flat / Apartment,1189,2,50 Shad Thames,SOUTH EAST LONDON
575000,New development,1023,2,Royal Albert Wharf,EAST LONDON
575000,New development,558,1,Chiswick,WEST LONDON
485000,Flat / Apartment,786,3, Barnes,CENTRAL LONDON
500000,Flat / Apartment,564,2, West Kensington,CENTRAL LONDON
1995000,House,2188,4,Westminster,CENTRAL LONDON
1250000,House,1962,5,Wandsworth,CENTRAL LONDON
1750000,House,2266,5,Wandsworth,CENTRAL LONDON
1675000,House,2485,6,Wandsworth,CENTRAL LONDON
1700000,House,1958,4,South Hackney,EAST LONDON
799950,Penthouse,842,2,Shoreditch,EAST LONDON
2100000,House,2565,5,Putney,CENTRAL LONDON
599995,Flat / Apartment,926,2,Lower Holloway,NORTH LONDON
435000,Flat / Apartment,439,1,Barnsbury,NORTH LONDON
1450000,Mews,1568,4, Belsize Park,NORTH WEST LONDON
2995000,New development,1446,2,Water Lane,CITY OF LONDON
2495000,New development,1163,2,Water Lane,CITY OF LONDON
3050000,House,2599,5,Battersea,CENTRAL LONDON
1450000,House,1669,4,Wandsworth,CENTRAL LONDON
1650000,House,2270,4,Putney,CENTRAL LONDON
2000000,New development,1693,4,82-88 Fulham High Street,CENTRAL LONDON
899000,Flat / Apartment,1003,2,Islington,NORTH LONDON
1399000,Flat / Apartment,1351,2, Fulham,CENTRAL LONDON
1250000,Flat / Apartment,1253,3, Fulham,CENTRAL LONDON
800000,House,1018,2,Mortlake,CENTRAL LONDON
490000,New development,695,2,Bow,EAST LONDON
699950,New development,756,2,Barnes,CENTRAL LONDON
899950,House,922,3,Battersea,CENTRAL LONDON
2695000,House,3797,6,Wimbledon,CENTRAL LONDON
1895000,House,2503,5,Wandsworth,CENTRAL LONDON
1100000,Flat / Apartment,1236,2, Juniper Drive,CENTRAL LONDON
6250000,Flat / Apartment,1736,3,19 Basil Street,CENTRAL LONDON
535000,Flat / Apartment,729,2,Putney,CENTRAL LONDON
550000,Flat / Apartment,849,2,Putney,CENTRAL LONDON
835000,Flat / Apartment,875,2,2-8 Eton Avenue,NORTH WEST LONDON
1895000,Flat / Apartment,1438,2,Fitzrovia,CENTRAL LONDON
3300000,House,1889,4,Kensington,CENTRAL LONDON
620000,New development,930,2,Homerton,EAST LONDON
580000,New development,832,2,Homerton,EAST LONDON
590000,New development,840,2,Homerton,EAST LONDON
599950,New development,724,2, Hackney Wick,EAST LONDON
1225000,House,1163,3, Fulham,CENTRAL LONDON
850000,House,1389,3,Acton,WEST LONDON
1375000,House,2441,5,Ealing Common,WEST LONDON
1850000,House,2766,6,West Acton,WEST LONDON
630000,New development,904,2, Ealing,WEST LONDON
650000,New development,776,2,Ealing,WEST LONDON
512500,New development,858,2,Royal Albert Wharf,EAST LONDON
599950,Flat / Apartment,506,1,Clerkenwell,CITY OF LONDON
950000,Flat / Apartment,939,1,Clerkenwell,CITY OF LONDON
1450000,House,2028,5, Wimbledon,CENTRAL LONDON
1795000,House,2336,5,Wimbledon,CENTRAL LONDON
2900000,Flat / Apartment,1677,4, St. John's Wood,NORTH WEST LONDON
1695000,House,3235,6,Putney,CENTRAL LONDON
575000,Flat / Apartment,983,2,Putney,CENTRAL LONDON
2100000,New development,1688,4,82-88 Fulham High Street,CENTRAL LONDON
1195000,House,2150,5,Ealing Common,WEST LONDON
475000,Flat / Apartment,637,2,Clapham,SOUTH WEST LONDON
525000,Flat / Apartment,771,2, Wandsworth,CENTRAL LONDON
2750000,Flat / Apartment,2339,5, Westminster,CENTRAL LONDON
1395000,House,2358,6,Putney,CENTRAL LONDON
1995000,Flat / Apartment,1156,3,Marylebone,CENTRAL LONDON
1850000,New development,1462,3,82-88 Fulham High Street,CENTRAL LONDON
2524000,New development,1008,2,Water Lane,CITY OF LONDON
